1990,111,Tie Me Up! Tie Me Down!,Comedy,"Banderas, Antonio","Abril, Victoria","Almod�var, Pedro",68,No,NicholasCage.png
1991,113,High Heels,Comedy,"Bos�, Miguel","Abril, Victoria","Almod�var, Pedro",68,No,NicholasCage.png
1979,122,Cuba,Action,"Connery, Sean","Adams, Brooke","Lester, Richard",6,No,seanConnery.png
1978,94,Days of Heaven,Drama,"Gere, Richard","Adams, Brooke","Malick, Terrence",14,No,NicholasCage.png
1983,140,Octopussy,Action,"Moore, Roger","Adams, Maud","Glen, John",68,No,NicholasCage.png
1984,101,Target Eagle,Action,"Connors, Chuck","Adams, Maud","Loma, Jos� Antonio de la",14,No,NicholasCage.png
1985,104,Subway,Drama,"Lambert, Christopher","Adjani, Isabelle","Besson, Luc",6,No,NicholasCage.png
1990,149,Camille Claudel,Drama,"Depardieu, G�rard","Adjani, Isabelle","Nuytten, Bruno",32,No,NicholasCage.png
1982,188,Fanny and Alexander,Drama,"Ahlstedt, B�rje","Adolphson, Kristina","Bergman, Ingmar",81,Yes,Bergman.png
1982,117,Tragedy of a Ridiculous Man,Drama,"Tognazzi, Ugo","Aimee, Anouk","Bertolucci, Bernardo",17,No,NicholasCage.png
1966,103,A Man & a Woman,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",46,Yes,NicholasCage.png
1986,112,A Man & a Woman: Twenty Years Later,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",49,No,NicholasCage.png
1966,103,Un Hombre y una Mujer,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",6,Yes,NicholasCage.png
1929,84,Blackmail,Mystery,"Longden, John","Algood, Sara","Hitchcock, Alfred",2,No,alfredHitchcock.png
1963,109,Donovan's Reef,Comedy,"Wayne, John","Allen, Elizabeth","Ford, John",62,No,johnWayne.png
1988,110,Tucker: The Man & His Dream,Drama,"Bridges, Jeff","Allen, Joan","Coppola, Francis Ford",68,No,NicholasCage.png
1988,101,Scrooged,Comedy,"Murray, Bill","Allen, Karen","Donner, Richard",15,No,NicholasCage.png
1981,116,Raiders of the Lost Ark,Action,"Ford, Harrison","Allen, Karen","Spielberg, Steven",8,No,NicholasCage.png
1991,105,Predator 2,Action,"Glover, Danny","Alonso, Maria Conchita","Hopkins, Stephen",79,No,NicholasCage.png
1988,127,Colors,Drama,"Penn, Sean","Alonso, Maria Conchita","Hopper, Dennis",23,No,NicholasCage.png
1990,97,Zandalee,Drama,"Cage, Nicolas","Anderson, Erika","Pillsbury, Sam",80,No,NicholasCage.png
1988,108,Miles from Home,Drama,"Anderson, Kevin","Anderson, Jo","Sinise, Gary",53,No,NicholasCage.png
1980,,Happy Birthday to Me,Horror,"Ford, Glenn","Anderson, Melissa Sue","Thompson, J. Lee",88,No,glennFord.png
1989,88,Final Notice,Mystery,"Gerard, Gil","Anderson, Melody","Stern, Steven Hilliard",88,No,NicholasCage.png
1979,110,Quintet,Drama,"Newman, Paul","Andersson, Bibi","Altman, Robert",19,No,paulNewman.png
1960,90,Devil's Eye,Drama,"Kulle, Jarl","Andersson, Bibi","Bergman, Ingmar",20,No,Bergman.png
1957,91,Wild Strawberries,Drama,"Sj�str�m, Victor","Andersson, Bibi","Bergman, Ingmar",42,Yes,Bergman.png
1992,90,Germicide,Drama,"Taylor, Rod","Andersson, Bibi",,36,No,NicholasCage.png
1955,86,Dreams,Drama,"Bj�rnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar",14,No,Bergman.png
1962,91,Through a Glass Darkly,Drama,"Bj�rnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar",64,Yes,Bergman.png
1972,91,Cries & Whispers,Drama,"Josephson, Erland","Andersson, Harriet","Bergman, Ingmar",18,Yes,Bergman.png
1967,130,Casino Royale,Comedy,"Niven, David","Andress, Ursula","Hughes, Ken",11,No,NicholasCage.png
1962,,Dr. No,Action,"Connery, Sean","Andress, Ursula","Young, Terence",7,No,seanConnery.png
1954,103,Elephant Walk,Drama,"Finch, Peter","Andrews, Dana",,11,No,NicholasCage.png
1979,121,Ten,Comedy,"Moore, Dudley","Andrews, Julie","Edwards, Blake",60,No,NicholasCage.png
1966,190,Hawaii,Drama,"Sydow, Max von","Andrews, Julie","Hill, George Roy",8,No,NicholasCage.png
1966,125,Torn Curtain,Mystery,"Newman, Paul","Andrews, Julie","Hitchcock, Alfred",35,No,paulNewman.png
1986,107,Duet for One,Drama,"Bates, Alan","Andrews, Julie","Konchalovsky, Andrei",82,No,NicholasCage.png
1985,55,Gonzo Presents Muppet Weird Stuff,Comedy,"Cleese, John","Andrews, Julie",,88,No,NicholasCage.png
1984,140,Tartuffe,Comedy,"Depardieu, G�rard","Annen, Paule","Depardieu, G�rard",67,No,NicholasCage.png
1988,104,A New Life,Comedy,"Alda, Alan",Ann-Margret,"Alda, Alan",53,No,NicholasCage.png
1978,106,Magic,Mystery,"Hopkins, Anthony",Ann-Margret,"Attenborough, Richard",85,No,AnthonyHopkins.png
1992,286,Tommy,Music,"Daltry, Roger",Ann-Margret,"Russell, Ken",5,No,NicholasCage.png
1992,95,Alan & Naomi,Drama,"Haas, Lukas","Aquino, Vanessa","Vanwagenen, Sterling",3,No,NicholasCage.png
1987,120,Fatal Attraction,Mystery,"Douglas, Michael","Archer, Anne","Lyne, Adrian",61,No,NicholasCage.png
1992,117,Patriot Games,Action,"Ford, Harrison","Archer, Anne","Noyce, Phillip",28,No,NicholasCage.png
1992,97,Hunting,Mystery,"Savage, John","Armstrong, Kerry","Howson, Frank",68,No,NicholasCage.png
1991,115,Bataan,War,"Taylor, Robert","Arnaz, Desi",,68,No,NicholasCage.png
1991,90,Henry Portrait of a Serial Killer,Horror,"Rooker, Michael","Arnold, Tracy",,69,No,NicholasCage.png
1991,115,Flight of the Intruder,Drama,"Glover, Danny","Arquette, Rosanna","Milius, John",51,No,NicholasCage.png
1986,108,Nobody's Fool,Comedy,"Roberts, Eric","Arquette, Rosanna","Purcell, Evelyn",52,No,NicholasCage.png
1985,97,After Hours,Comedy,"Dunne, Griffin","Arquette, Rosanna","Scorsese, Martin",81,No,NicholasCage.png
1985,104,Desperately Seeking Susan,Comedy,"Quinn, Aidan","Arquette, Rosanna","Seidelman, Susan",41,No,NicholasCage.png
1971,102,A New Leaf,Comedy,"Matthau, Walter","Arrick, Rose","May, Elaine",83,No,NicholasCage.png
1959,91,Killers of Kilimanjaro,Action,"Taylor, Robert","Aslan, Gregoire","Thorpe, Richard",11,No,NicholasCage.png
1926,126,Don Juan,Action,"Barrymore, John","Astor, Mary","Crosland, Alan",55,No,NicholasCage.png
1987,102,Babette's Feast,Drama,"LaFont, Jean-Philippe","Audran, St�phane","Axel, Gabriel",79,Yes,NicholasCage.png
1989,118,Vincent Francois, Paul & the Others,Drama,"Montand, Yves","Audran, St�phane",,20,No,NicholasCage.png
1988,141,Thunderball,Action,"Connery, Sean","Auger, Claudine","Young, Terrence",8,No,seanConnery.png
1926,66,Lodger (Story of the London Fog),Mystery,"Chesney, Arthur","Ault, Marie","Hitchcock, Alfred",76,No,alfredHitchcock.png
1988,103,Appointment with Death,Mystery,"Ustinov, Peter","Bacall, Lauren","Donaggio, Michael Winner",75,No,NicholasCage.png
1974,128,Murder on the Orient Express,Mystery,"Balsam, Martin","Bacall, Lauren","Lumet, Sidney",8,Yes,NicholasCage.png
1955,115,Blood Alley,War,"Wayne, John","Bacall, Lauren","Wellman, William",15,No,johnWayne.png
1997,109,Alien: resurrection,Science Fiction,"Perlman, Ron","Weaver, Sigourney","Jeunet, Jean-Pierre",60,No,weaver.png
1920,137,Spiders,Drama,"De Vogy, Carl",,"Lang, Fritz",29,No,NicholasCage.png
